
"Report 1"

"CTL_CLAIM_NO","CTL_CLAIM_DATE","CTL_MACHINE_MODEL","CTL_MACHINE_TYPE","CTL_MACHINE_SUBTYPE","CTL_MACHINE_SERIAL","CTL_DELIVERY_DATE","CTL_FAILURE_DATE","CTL_CORRECTED_DATE","CTL_CAUSE_OF_FAILURE","CTL_ETSI","CTL_FC_NO","CLAIM_CATEGORY","BASE_APP_PARTS_AMOUNT","BASE_APP_LABOR_AMOUNT","BASE_APP_MILEAGE_AMOUNT","BASE_APP_OTHER_AMOUNT","BASE_APP_TOTAL_AMOUNT","PARTS_NBR","PARTS_NAME","PARTS_QTY","PARTS_UNIT_PRICE"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","07285-00280         ","CLIP           ","4","9.45"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","112-946-4170        ","CLIP           ","2","7.74"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","600-051-2060        ","CLIP           ","2","8.08"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","600-211-1341        ","CARTRIDGE OIL  ","6","82.79"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","600-411-5110        ","CARTRIDGE      ","2","88.63"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6166-75-6821        ","CLAMP          ","8","46.4"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6217-61-8231        ","HEAD ASS'Y     ","2","354.69"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6240-61-1106        ","WATER PUMP ASS'","2","1,211.26"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6245-61-8120        ","TUBE           ","2","77.38"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6245-61-8130        ","TUBE           ","2","81.01"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6245-61-8381        ","JOINT          ","2","37.44"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6245-61-8390        ","JOINT          ","2","34.52"
"21158  ","20210608","D375A      "," 6","R ","         65657","20170315","20210220","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6354-71-5630        ","BRACKET        ","2","31.21"
"21159  ","20210510","PC500LC    ","10","R ","        100041","20200306","20201029","20210502","6017AA","AMSMX202011005 ","         ","W","172.95","10.64","21.78","0","205.37","208-60-41211        ","CAP ASS'Y      ","2","172.95"
"21162  ","20210519","PC210      ","10","M0","        C02029","20210422","20210422","20210503","0414MA","AMSMX202104022 ","         ","W","79.22","10.64","9.18","0","99.04","2A7-04-11260        ","CAP            ","2","79.22"
"21165  ","20210519","PC210      ","10","M0","        C01095","20191220","20210416","20210503","C222MA","AMSMX202104019 ","         ","X","94.52","15.96","0","0","110.48","6755-81-1900        ","SENSOR         ","1","94.52"
"21166  ","20210519","PC210      ","10","M0","        C01900","20200615","20210303","20210509","DJG2MA","AMSMX202105003 ","         ","W","123.59","10.64","14.58","0","148.81","600-311-3723        ","SENSOR         ","2","123.59"
"21167  ","20210526","HD785      "," 7","  ","         33093","20200212","20210521","20210522","02A0FL","AMSMX202104014 ","         ","P","470.12","5.32","0","0","475.44","07289-00160         ","CLAMP          ","4","22.33"
"21167  ","20210526","HD785      "," 7","  ","         33093","20200212","20210521","20210522","02A0FL","AMSMX202104014 ","         ","P","470.12","5.32","0","0","475.44","561-02-82151        ","ELBOW          ","2","190.4"
"21167  ","20210526","HD785      "," 7","  ","         33093","20200212","20210521","20210522","02A0FL","AMSMX202104014 ","         ","X","470.12","5.32","0","0","475.44","07289-00160         ","CLAMP          ","4","22.33"
"21167  ","20210526","HD785      "," 7","  ","         33093","20200212","20210521","20210522","02A0FL","AMSMX202104014 ","         ","X","470.12","5.32","0","0","475.44","561-02-82151        ","ELBOW          ","2","190.4"
"21168  ","20210526","D375A      "," 6","R ","         65376","20200810","20210525","20210525","A600AF","AMSMX202104007 ","         ","B","1,211.26","0","0","0","1,211.26","6240-61-1106        ","WATER PUMP ASS'","2","1,211.26"
"21169  ","20210526","D375A      "," 6","R ","         65619","20200630","20210525","20210525","A600AF","AMSMX202104008 ","         ","B","1,211.26","0","0","0","1,211.26","6240-61-1106        ","WATER PUMP ASS'","2","1,211.26"
"21170  ","20210528","PC210      ","10","M0","        C00242","20200707","20210428","20210516","0100FF","AMSMX202104026 ","         ","W","44.85","10.64","16.92","0","72.41","6754-21-5770        ","GAUGE          ","2","44.85"
"21171  ","20210529","PC210      ","10","M0","        C00108","20190730","20210426","20210512","DJG2MA","AMSMX202105001 ","         ","P","123.59","15.96","9","0","148.55","600-311-3723        ","SENSOR         ","1","123.59"
"21171  ","20210529","PC210      ","10","M0","        C00108","20190730","20210426","20210512","DJG2MA","AMSMX202105001 ","         ","X","123.59","15.96","9","0","148.55","600-311-3723        ","SENSOR         ","1","123.59"
"21172  ","20210529","PC210      ","10","M0","        C00063","20190202","20210331","20210505","601JAA","AMSMX202104001 ","         ","P","111.07","10.64","4.68","0","126.39","20Y-60-56370        ","GAUGE          ","1","111.07"
"21172  ","20210529","PC210      ","10","M0","        C00063","20190202","20210331","20210505","601JAA","AMSMX202104001 ","         ","X","111.07","10.64","4.68","0","126.39","20Y-60-56370        ","GAUGE          ","1","111.07"
"21173  ","20210529","PC200      "," 8","M0","        C23144","20190621","20210508","20210522","DJG2MA","AMSMX202105011 ","         ","P","123.59","10.64","16.2","0","150.43","600-311-3722        ","SENSOR         ","2","123.59"
"21175  ","20210628","D65EX      ","16","  ","         82643","20180704","20210203","20210527","DY20MA","AMSMX202102012 ","         ","X","560.32","15.96","13.32","0","589.6","17A-979-2850        ","WIPER MOTOR    ","2","560.32"
"21177  ","20210611","PC210      ","10","M0","        C00195","20191107","20210416","20210525","0400AC","AMSMX202104021 ","         ","P","512.66","5.32","1.62","0","519.6","20Y-04-K2451        ","VALVE ASS'Y    ","1","512.66"
"21177  ","20210611","PC210      ","10","M0","        C00195","20191107","20210416","20210525","0400AC","AMSMX202104021 ","         ","X","512.66","5.32","1.62","0","519.6","20Y-04-K2451        ","VALVE ASS'Y    ","1","512.66"
"21178  ","20210611","WA380      "," 6","  ","         67941","20191011","20210516","20210529","A130CE","AMSMX202105008 ","         ","X","44.12","21.28","6.84","0","72.24","6754-11-8181        ","PACKING        ","2","44.12"
"21179  ","20210611","WA380      "," 6","  ","         67926","20190510","20210520","20210530","A130CE","AMSMX202105016 ","         ","X","44.12","21.28","14.4","0","79.8","6754-11-8181        ","PACKING        ","2","44.12"
"21180  ","20210611","WA380      "," 6","  ","         67931","20190506","20210214","20210522","A130CE","AMSMX202102026 ","         ","X","44.12","21.28","14.4","0","79.8","6754-11-8181        ","PACKING        ","2","44.12"
"21181  ","20210607","PC210      ","10","M0","        C01414","20200829","20210512","20210527","DV20MA","AMSMX202105010 ","         ","W","170.23","10.64","21.06","0","201.93","417-06-53210        ","BACK-UP ALARM  ","2","170.23"
"21182  ","20210608","GD535      "," 5","  ","          1511","20200218","20210507","20210531","15S0MA","AMSMX202105007 ","         ","X","1,082.14","21.28","20.34","0","1,123.76","56D-15-35601        ","VALVE          ","2","1,082.14"
"21186  ","20210615","D375A      "," 6","R ","         65613","20200630","20210610","20210610","A600AE","AMSMX202012012 ","         ","B","1,211.26","0","0","0","1,211.26","6240-61-1106        ","WATER PUMP ASS'","1","1,211.26"
"21187  ","20210619","PC210      ","10","M0","        C01978","20210416","20210521","20210528","DJG1KX","AMSMX202105021 ","         ","W","123.59","7.98","34.74","0","166.31","600-311-3722        ","SENSOR         ","2","123.59"
"21188  ","20210619","WA380      "," 6","  ","         67829","20190124","20210519","20210531","A130CA","AMSMX202105015 ","         ","X","44.12","26.6","7.74","0","78.46","6754-11-8181        ","PACKING        ","2","44.12"
"21190  ","20210701","PC210      ","10","M0","        C03057","20210514","20210514","20210622","6357AA","AMSMX202105027 ","         ","W","635.84","21.28","4.32","0","661.44","702-16-03910        ","PILOT VALVE    ","2","635.84"
"21192  ","20210703","D375A      "," 6","R ","         65686","20191112","20210623","20210623","DW7DNM","AMSMX202012014 ","         ","B","6,847.75","15.96","0","0","6,863.71","708-1W-00670        ","PUMP ASS'Y     ","0","6,847.75"
"21193  ","20210707","D85EX      ","15","R ","         21122","20180725","20210603","20210626","A600MA","AMSMX202106010 ","         ","X","1,071.93","21.28","23.22","0","1,116.43","6150-22-6490        ","GASKET         ","2","5.73"
"21193  ","20210707","D85EX      ","15","R ","         21122","20180725","20210603","20210626","A600MA","AMSMX202106010 ","         ","X","1,071.93","21.28","23.22","0","1,116.43","6150-61-1821        ","GASKET         ","4","7.35"
"21193  ","20210707","D85EX      ","15","R ","         21122","20180725","20210603","20210626","A600MA","AMSMX202106010 ","         ","X","1,071.93","21.28","23.22","0","1,116.43","6210-61-6441        ","GASKET         ","2","8.48"
"21193  ","20210707","D85EX      ","15","R ","         21122","20180725","20210603","20210626","A600MA","AMSMX202106010 ","         ","X","1,071.93","21.28","23.22","0","1,116.43","6251-61-1103        ","WATER PUMP     ","2","1,043.02"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","01597-01009         ","NUT            ","16","1.63"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","01643-31032         ","WASHER         ","16","0.63"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","02756-00511         ","HOSE           ","8","109.3"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","02896-11015         ","O-RING         ","4","0.97"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","02896-61015         ","O-RING         ","4","2.25"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","07283-32236         ","CLIP           ","8","7.04"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","144-70-15251        ","ROLL PIN       ","8","2.88"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","14X-60-31150        ","ELEMENT        ","2","86.76"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","14X-60-51151        ","STRAINER ASS'Y ","2","223.58"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","707-86-56500        ","TUBE           ","2","395.79"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","707-86-56510        ","TUBE           ","2","395.79"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","707-E2-00052        ","*CYLINDER A.R.*","2","6,669.63"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","707-E2-00062        ","*CYLINDER A.L.*","2","6,669.63"
"21195  ","20210713","D65EX      ","16","  ","         82715","20190329","20210518","20210702","H1A1NN","AMSMX202105022 ","         ","X","15,515.58","21.28","18.36","0","15,555.22","HO-46-CF-20L-PCP    ","*HO46 IN PAIL *","10","114.6"
"21196  ","20210707","PC200      "," 8","M0","        C23323","20191009","20210614","20210629","DJG2MA","AMSMX202106035 ","         ","P","123.59","10.64","35.82","0","170.05","600-311-3723        ","SENSOR         ","1","123.59"
"21196  ","20210707","PC200      "," 8","M0","        C23323","20191009","20210614","20210629","DJG2MA","AMSMX202106035 ","         ","P","123.59","31.92","35.82","0","191.33","600-311-3723        ","SENSOR         ","1","123.59"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","01435-00835         ","BOLT           ","4","0.99"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","01435-01020         ","BOLT           ","2","1.05"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","01435-01035         ","BOLT           ","8","1.28"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","01436-01000         ","BOLT           ","2","2.85"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","01584-00806         ","NUT            ","2","0.94"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","07000-72095         ","O-RING         ","2","7.27"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","07000-A3039         ","O-RING         ","4","6.7"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","07000-G2075         ","O-RING         ","2","8.93"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","07000-G2100         ","O-RING         ","2","10.78"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","07005-01412         ","SEAL           ","16","2.25"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","07206-31014         ","JOINT          ","4","12.14"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","07285-00280         ","CLIP           ","4","9.45"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","112-946-4170        ","CLIP           ","2","7.74"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","600-051-2060        ","CLIP           ","2","8.08"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","600-211-1341        ","CARTRIDGE OIL  ","6","82.79"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","600-411-5110        ","CARTRIDGE      ","2","88.63"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6166-75-6821        ","CLAMP          ","8","46.4"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6217-61-8231        ","HEAD ASS'Y     ","2","354.69"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6240-61-1106        ","WATER PUMP ASS'","2","1,211.26"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6245-61-8120        ","TUBE           ","2","77.38"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6245-61-8130        ","TUBE           ","2","81.01"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6245-61-8381        ","JOINT          ","2","37.44"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6245-61-8390        ","JOINT          ","2","34.52"
"21197  ","20210712","D375A      "," 6","R ","         65657","20170315","20191217","20210429","A600AF","AMSMX202102033 ","         ","P","2,479.43","31.92","0","0","2,511.35","6354-71-5630        ","BRACKET        ","2","31.21"
"21200  ","20210720","PC350      "," 8","M0","         82146","20210108","20210617","20210617","H170FG","AMSMX20210603AM","         ","W","20,037","143.64","0","0","20,180.64","07000-F5195         ","O-RING         ","1","36.78"
"21200  ","20210720","PC350      "," 8","M0","         82146","20210108","20210617","20210617","H170FG","AMSMX20210603AM","         ","W","20,037","143.64","0","0","20,180.64","207-60-71183        ","ELEMENT        ","1","156.73"
"21200  ","20210720","PC350      "," 8","M0","         82146","20210108","20210617","20210617","H170FG","AMSMX20210603AM","         ","W","20,037","143.64","0","0","20,180.64","707-F1-02180        ","ARM CYLINDER AS","1","19,264.89"
"21200  ","20210720","PC350      "," 8","M0","         82146","20210108","20210617","20210617","H170FG","AMSMX20210603AM","         ","W","20,037","143.64","0","0","20,180.64","HO-46-CF-20L-PCP    ","*HO46 IN PAIL *","10","57.86"
"21203  ","20210720","PC210      ","10","M0","        C01433","20200910","20210606","20210710","DJF1MA","AMSMX202106038 ","         ","W","180.77","21.28","5.76","0","207.81","07000-13050         ","O-RING         ","2","2.87"
"21203  ","20210720","PC210      ","10","M0","        C01433","20200910","20210606","20210710","DJF1MA","AMSMX202106038 ","         ","W","180.77","21.28","5.76","0","207.81","7861-93-5810        ","SENSOR         ","2","177.9"
"21210  ","20210717","PC210      ","10","M0","        C00258","20200304","20210511","20210701","DLM5MA","AMSMX202105009 ","         ","P","188.42","0","0","0","188.42","01010-81025         ","BOLT           ","1","1.65"
"21210  ","20210717","PC210      ","10","M0","        C00258","20200304","20210511","20210701","DLM5MA","AMSMX202105009 ","         ","P","188.42","0","0","0","188.42","01643-31032         ","WASHER         ","1","0.63"
"21210  ","20210717","PC210      ","10","M0","        C00258","20200304","20210511","20210701","DLM5MA","AMSMX202105009 ","         ","P","188.42","0","0","0","188.42","08193-20010         ","CLIP           ","0","18.84"
"21210  ","20210717","PC210      ","10","M0","        C00258","20200304","20210511","20210701","DLM5MA","AMSMX202105009 ","         ","P","188.42","0","0","0","188.42","20Y-06-56680        ","WIRING HARNESS ","1","146.83"
"21210  ","20210717","PC210      ","10","M0","        C00258","20200304","20210511","20210701","DLM5MA","AMSMX202105009 ","         ","P","188.42","0","0","0","188.42","20Y-979-5881        ","BRACKET        ","1","39.31"
"21210  ","20210717","PC210      ","10","M0","        C00258","20200304","20210511","20210701","DLM5MA","AMSMX202105009 ","         ","X","207.26","15.96","26.82","0","250.04","01010-81025         ","BOLT           ","1","1.65"
"21210  ","20210717","PC210      ","10","M0","        C00258","20200304","20210511","20210701","DLM5MA","AMSMX202105009 ","         ","X","207.26","15.96","26.82","0","250.04","01643-31032         ","WASHER         ","1","0.63"
"21210  ","20210717","PC210      ","10","M0","        C00258","20200304","20210511","20210701","DLM5MA","AMSMX202105009 ","         ","X","207.26","15.96","26.82","0","250.04","08193-20010         ","CLIP           ","0","18.84"
"21210  ","20210717","PC210      ","10","M0","        C00258","20200304","20210511","20210701","DLM5MA","AMSMX202105009 ","         ","X","207.26","15.96","26.82","0","250.04","20Y-06-56680        ","WIRING HARNESS ","1","146.83"
"21210  ","20210717","PC210      ","10","M0","        C00258","20200304","20210511","20210701","DLM5MA","AMSMX202105009 ","         ","X","207.26","15.96","26.82","0","250.04","20Y-979-5881        ","BRACKET        ","1","39.31"
"21212  ","20210722","PC70       "," 8","  ","        C10768","20210610","20210703","20210703","7GA1FA","AMSMX202107038 ","         ","W","176.99","5.32","4.68","0","186.99","07095-00627         ","CUSHION        ","2","10.63"
"21212  ","20210722","PC70       "," 8","  ","        C10768","20210610","20210703","20210703","7GA1FA","AMSMX202107038 ","         ","W","176.99","5.32","4.68","0","186.99","201-973-8241        ","HOSE           ","2","132.71"
"21212  ","20210722","PC70       "," 8","  ","        C10768","20210610","20210703","20210703","7GA1FA","AMSMX202107038 ","         ","W","176.99","5.32","4.68","0","186.99","22B-62-12320        ","CUSHION        ","2","33.65"
"21215  ","20210726","PC210      ","10","M0","        C01422","20200910","20210609","20210719","DJF1MA","AMSMX202106022 ","         ","W","180.77","23.94","3.6","0","208.31","07000-13050         ","O-RING         ","2","2.87"
"21215  ","20210726","PC210      ","10","M0","        C01422","20200910","20210609","20210719","DJF1MA","AMSMX202106022 ","         ","W","180.77","23.94","3.6","0","208.31","7861-93-5810        ","SENSOR         ","2","177.9"
"21216  ","20210726","EGS500     "," 6","  ","         61501","20200708","20210610","20210712","041PFG","AMSMX202106028 ","         ","W","165.4","15.96","5.94","0","187.3","07005-00812         ","SEAL           ","4","1.72"
"21216  ","20210726","EGS500     "," 6","  ","         61501","20200708","20210610","20210712","041PFG","AMSMX202106028 ","         ","W","165.4","15.96","5.94","0","187.3","07005-01412         ","SEAL           ","16","2.25"
"21216  ","20210726","EGS500     "," 6","  ","         61501","20200708","20210610","20210712","041PFG","AMSMX202106028 ","         ","W","165.4","15.96","5.94","0","187.3","07043-70108         ","PLUG           ","2","2.29"
"21216  ","20210726","EGS500     "," 6","  ","         61501","20200708","20210610","20210712","041PFG","AMSMX202106028 ","         ","W","165.4","15.96","5.94","0","187.3","07206-31014         ","JOINT          ","6","12.14"
"21216  ","20210726","EGS500     "," 6","  ","         61501","20200708","20210610","20210712","041PFG","AMSMX202106028 ","         ","W","165.4","15.96","5.94","0","187.3","6110-73-6231        ","PLUG           ","4","8.98"
"21216  ","20210726","EGS500     "," 6","  ","         61501","20200708","20210610","20210712","041PFG","AMSMX202106028 ","         ","W","165.4","15.96","5.94","0","187.3","DK029631-6060       ","O-RING         ","2","3.7"
"21216  ","20210726","EGS500     "," 6","  ","         61501","20200708","20210610","20210712","041PFG","AMSMX202106028 ","         ","W","165.4","15.96","5.94","0","187.3","DK152115-0500       ","*VALVE        *","2","3.86"
"21216  ","20210726","EGS500     "," 6","  ","         61501","20200708","20210610","20210712","041PFG","AMSMX202106028 ","         ","W","165.4","15.96","5.94","0","187.3","DK152116-0200       ","*SPRING       *","2","2.48"
"21216  ","20210726","EGS500     "," 6","  ","         61501","20200708","20210610","20210712","041PFG","AMSMX202106028 ","         ","W","165.4","15.96","5.94","0","187.3","DK152200-5320       ","PUMP           ","2","77.25"
"21217  ","20210725","D65EX      ","16","  ","         82801","20191011","20210616","20210716","DY20MA","AMSMX202106049 ","         ","X","560.32","21.28","9.54","0","591.14","17A-979-2850        ","WIPER MOTOR    ","2","560.32"
"21218  ","20210727","D85EX      ","15","R ","         21213","20191209","20210710","20210717","2710AA","AMSMX202107026 ","         ","X","901.41","42.56","54.18","0","998.15","154-27-00020        ","FLOATING SEAL A","1","707.64"
"21218  ","20210727","D85EX      ","15","R ","         21213","20191209","20210710","20210717","2710AA","AMSMX202107026 ","         ","X","901.41","42.56","54.18","0","998.15","TO-30-CF-20L-PCP    ","*TO30 1*20L   *","3","64.59"
"21219  ","20210809","D155A      "," 6","  ","         87632","20190517","20210707","20210723","AB3LDD","AMSMX202107028 ","         ","X","1,735.06","31.92","8.28","0","1,775.26","600-813-9390        ","STARTER        ","2","1,735.06"
"21220  ","20210809","PC210      ","10","M0","        C01969","20210315","20210707","20210727","DV20MA","AMSMX202107006 ","         ","W","173.85","5.32","21.42","0","200.59","01010-81020         ","BOLT           ","4","1.18"
"21220  ","20210809","PC210      ","10","M0","        C01969","20210315","20210707","20210727","DV20MA","AMSMX202107006 ","         ","W","173.85","5.32","21.42","0","200.59","01643-31032         ","WASHER         ","4","0.63"
"21220  ","20210809","PC210      ","10","M0","        C01969","20210315","20210707","20210727","DV20MA","AMSMX202107006 ","         ","W","173.85","5.32","21.42","0","200.59","417-06-53210        ","BACK-UP ALARM  ","2","170.23"
"21222  ","20210806","PC210LC    ","10","M0","        C01942","20200306","20210625","20210731","DJG2MA","AMSMX202107010 ","         ","P","123.59","10.64","0","0","134.23","600-311-3722        ","SENSOR         ","1","123.59"
"21222  ","20210806","PC210LC    ","10","M0","        C01942","20200306","20210625","20210731","DJG2MA","AMSMX202107010 ","         ","X","123.59","10.64","0","0","134.23","600-311-3722        ","SENSOR         ","1","123.59"
"21223  ","20210809","D155A      "," 6","  ","         87841","20200611","20210511","20210730","0311HA","AMSMX202105005 ","         ","W","12,687.28","74.48","23.22","0","12,784.98","01010-81065         ","BOLT           ","8","2.53"
"21223  ","20210809","D155A      "," 6","  ","         87841","20200611","20210511","20210730","0311HA","AMSMX202105005 ","         ","W","12,687.28","74.48","23.22","0","12,784.98","01643-81032         ","WASHER         ","8","0.71"
"21223  ","20210809","D155A      "," 6","  ","         87841","20200611","20210511","20210730","0311HA","AMSMX202105005 ","         ","W","12,687.28","74.48","23.22","0","12,784.98","17A-03-41220        ","O-RING         ","8","23.35"
"21223  ","20210809","D155A      "," 6","  ","         87841","20200611","20210511","20210730","0311HA","AMSMX202105005 ","         ","W","12,687.28","74.48","23.22","0","12,784.98","17A-03-41231        ","CUSHION        ","4","82.96"
"21223  ","20210809","D155A      "," 6","  ","         87841","20200611","20210511","20210730","0311HA","AMSMX202105005 ","         ","W","12,687.28","74.48","23.22","0","12,784.98","17A-03-41361        ","CUSHION        ","8","31.56"
"21223  ","20210809","D155A      "," 6","  ","         87841","20200611","20210511","20210730","0311HA","AMSMX202105005 ","         ","W","12,687.28","74.48","23.22","0","12,784.98","17A-03-42413        ","*RADIATOR ASS'*","4","6,138"
